Book title,average_rating
"Then Came You (The Gamblers, #1)",3.99
"Fear Nothing (Moonlight Bay, #1)",3.99
When Breath Becomes Air,4.32
"A Death in Vienna (Gabriel Allon, #4)",4.17
The Wimpy Kid Movie Diary (Diary of a Wimpy Kid),4.16
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,4.18
"Retribution (Dark-Hunter, #19)",4.12
One Plus One,3.94
Fingersmith,4.02
"Invincible (Chronicles of Nick, #2)",4.27
Revolutionary Road,3.89
"Death Note, Vol. 5: Whiteout (Death Note, #5)",4.35
Unfinished Tales of Númenor and Middle-Earth,3.93
Open Road Summer,3.91
Rosencrantz and Guildenstern Are Dead,4.06
"Phantom (Harry Hole, #9)",4.11
Eloise ,4.2
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,4.11
Dune (Dune Chronicles #1),4.19
"Inkheart (Inkworld, #1)",3.86
"The Body Farm (Kay Scarpetta, #5)",4.04
Tuesday,4.17
Being Mortal: Medicine and What Matters in the End,4.4
رجال في الشمس,4.16
Going After Cacciato,3.9
Shadow Divers,4.26
"Bared to You (Crossfire, #1)",4.19
Lady Windermere's Fan,3.9
"The Son of Neptune (The Heroes of Olympus, #2)",4.44
Become a Better You: 7 Keys to Improving Your Life Every Day,4.15
"The Selection (The Selection, #1)",4.15
"Dark of the Moon (Virgil Flowers, #1)",4.0
"Avoiding Commitment (Avoiding, #1)",3.85
"The Medusa Plot (39 Clues: Cahills vs. Vespers, #1)",4.07
"The Bourne Supremacy (Jason Bourne, #2)",4.09
Miss Rumphius,4.45
"Lies (Gone, #3)",4.09
Outer Dark,3.88
"Between, Georgia",3.87
Underground: The Tokyo Gas Attack and the Japanese Psyche,3.89
"The Eye of Minds (The Mortality Doctrine, #1)",3.85
"The Man in the Iron Mask (The D'Artagnan Romances, #3.3)",3.97
"Once (Once, #1)",4.2
Feel the Fear and Do It Anyway,4.01
The Guardian,4.14
The Invisible Gorilla: And Other Ways Our Intuitions Deceive Us,3.88
"Holiday in Death (In Death, #7)",4.31
Captain Blood,4.16
Life is Elsewhere,3.95
Steppenwolf,4.11
The Call of the Wild,3.83
Sacajawea (Lewis & Clark Expedition),4.23
"Shatterglass (The Circle Opens, #4)",4.16
The Complete Grimm's Fairy Tales,4.31
"Partials (Partials Sequence, #1)",3.94
Battlefield of the Mind: Winning the Battle in Your Mind,4.33
"The Fiery Heart (Bloodlines, #4)",4.39
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,4.05
The Cask of Amontillado,4.09
"Knife of Dreams (Wheel of Time, #11)",4.12
"Indemnity Only (V.I. Warshawski, #1)",3.89
Till We Have Faces,4.19
"Tricks (Tricks, #1)",4.29
"New Spring (Wheel of Time, #0)",4.01
"The Negotiator (O'Malley, #1)",4.32
"Physics of the Impossible: A Scientific Exploration into the World of Phasers, Force Fields, Teleportation, and Time Travel",4.07
