title,image_url
"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg
"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg
To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg
The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg
The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg
The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg
The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg
"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735m/960.jpg
Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg
The Kite Runner,https://images.gr-assets.com/books/1484565687m/77203.jpg
"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506m/13335037.jpg
1984,https://images.gr-assets.com/books/1348990566m/5470.jpg
Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg
The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407m/48855.jpg
"The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566m/2429135.jpg
"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780m/6148028.jpg
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg
"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419m/7260188.jpg
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547m/2.jpg
The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg
"The Da Vinci Code (Robert Langdon, #2)",https://images.gr-assets.com/books/1303252999m/968.jpg
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg
Lord of the Flies,https://images.gr-assets.com/books/1327869409m/7624.jpg
Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg
Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg
The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg
Of Mice and Men,https://images.gr-assets.com/books/1437235233m/890.jpg
Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Fifty Shades of Grey (Fifty Shades, #1)",https://images.gr-assets.com/books/1385207843m/10818853.jpg
The Alchemist,https://images.gr-assets.com/books/1483412266m/865.jpg
"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368m/3636.jpg
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg
The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg
"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693m/13496.jpg
"Eat, Pray, Love",https://images.gr-assets.com/books/1503066414m/19501.jpg
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609m/28187.jpg
"Little Women (Little Women, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg
"The Notebook (The Notebook, #1)",https://images.gr-assets.com/books/1385738917m/15931.jpg
Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg
Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg
The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg
Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg
"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg
Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448m/30119.jpg
"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315m/256683.jpg
"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355m/428263.jpg
"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852m/113436.jpg
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754m/11.jpg
Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg
"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438m/1162543.jpg
The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg
The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg
Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg
The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg
The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg
"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747m/119322.jpg
Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg
Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389m/4981.jpg
Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg
A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969m/128029.jpg
The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg
"Insurgent (Divergent, #2)",https://images.gr-assets.com/books/1325667729m/11735983.jpg
"Ender's Game (Ender's Saga, #1)",https://images.gr-assets.com/books/1408303130m/375802.jpg
Frankenstein,https://images.gr-assets.com/books/1381512375m/18490.jpg
The Shining (The Shining #1),https://images.gr-assets.com/books/1353277730m/11588.jpg
"The Host (The Host, #1)",https://images.gr-assets.com/books/1318009171m/1656001.jpg
Looking for Alaska,https://images.gr-assets.com/books/1394798630m/99561.jpg
"Bridget Jones's Diary (Bridget Jones, #1)",https://images.gr-assets.com/books/1292060045m/227443.jpg
Sense and Sensibility,https://images.gr-assets.com/books/1397245675m/14935.jpg
"Holes (Holes, #1)",https://images.gr-assets.com/books/1327781893m/38709.jpg
"The Devil Wears Prada (The Devil Wears Prada, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
The Odyssey,https://images.gr-assets.com/books/1390173285m/1381.jpg
The Little Prince,https://images.gr-assets.com/books/1367545443m/157993.jpg
The Glass Castle,https://images.gr-assets.com/books/1400930557m/7445.jpg
Into the Wild,https://images.gr-assets.com/books/1403173986m/1845.jpg
A Tale of Two Cities,https://images.gr-assets.com/books/1344922523m/1953.jpg
"Jurassic Park (Jurassic Park, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
The Giving Tree,https://images.gr-assets.com/books/1174210942m/370493.jpg
A Time to Kill,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Night (The Night Trilogy #1),https://images.gr-assets.com/books/1473495285m/1617.jpg
Paper Towns,https://images.gr-assets.com/books/1349013610m/6442769.jpg
The Princess Bride ,https://images.gr-assets.com/books/1327903636m/21787.jpg
The Outsiders,https://images.gr-assets.com/books/1442129426m/231804.jpg
"The Maze Runner (Maze Runner, #1)",https://images.gr-assets.com/books/1375596592m/6186357.jpg
